issue_number,total_events,reopen_count,unique_actors,reassignment_count,first_assignee,sla_breach_flag,all_labels_seen
103469,7,0,3,1,Venkat6871,0,type:bug|TF 2.19|comp:gpu|stat:awaiting response|stale
103470,7,0,3,1,Venkat6871,0,type:bug|TF 2.19|comp:gpu|stat:awaiting response|stale
103506,11,0,4,2,Venkat6871,0,type:bug|TF 2.19|comp:keras|comp:gpu|stat:awaiting response|stale
103531,7,0,3,1,Venkat6871,0,type:build/install|TF 2.19|wsl2|stat:awaiting response|stale
103536,11,0,7,3,Venkat6871,0,type:bug|comp:lite|TF 2.19|stat:awaiting response|stale
103538,11,0,7,3,Venkat6871,0,type:build/install|comp:lite|TF 2.19|stat:awaiting response|stale
103590,14,0,5,4,Venkat6871,0,type:build/install|TF 2.19|comp:lite|stat:awaiting response
103630,9,0,4,3,Venkat6871,0,comp:lite|stat:awaiting response|stale
103660,8,0,4,2,Venkat6871,0,type:bug|type:docs-bug|TF 2.19|awaiting PR merge
103823,11,0,4,2,Venkat6871,0,type:bug|comp:tf.function|TF 2.19|TF 2.16|stat:awaiting response|stale
103915,6,0,3,1,Venkat6871,0,type:bug|type:docs-bug|TF 2.19|awaiting PR merge
103918,3,0,3,1,Venkat6871,0,type:build/install
103920,7,0,3,1,Venkat6871,0,type:bug|type:docs-bug|type:others|awaiting PR merge|TF 2.19
103994,8,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|comp:gpu|stat:awaiting response|stale
103998,7,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|stat:awaiting response|stale
103999,7,0,3,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|stat:awaiting response|stale
104016,8,0,4,1,Venkat6871,0,type:bug|type:docs-bug|TF 2.16|subtype:macOS|stat:awaiting response|stale
104074,3,0,3,1,Venkat6871,0,type:build/install
104076,7,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|stat:awaiting response|stale
104077,7,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|stat:awaiting response|stale
104078,7,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|stat:awaiting response|stale
104079,7,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|stat:awaiting response|stale
104080,7,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|stat:awaiting response|stale
104257,7,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|stat:awaiting response|stale
104258,7,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|stat:awaiting response|stale
104259,7,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|stat:awaiting response|stale
104260,7,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|stat:awaiting response|stale
104261,7,0,4,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|stat:awaiting response|stale
104297,5,0,4,1,Venkat6871,0,type:bug|type:build/install|TF 2.19
104313,12,0,6,4,Venkat6871,0,type:bug|comp:lite|stat:awaiting response
